id,category,title,iconName,brackets,evaluator_description,progress_evaluator_description
ach_113,Producers,Build %s Moon Cloners,lunariteIcon,"5,25,75,150,250",Build {x} Moon Cloners,Number of Moon Cloners divided by {x}
ach_114,Producers,Build %s Interstellar Cows,methaneIcon,"5,25,75,150,250",Build {x} Interstellar Cows,Number of Interstellar Cows divided by {x}
ach_53,Producers,Build %s Drills of Titans,titaniumIcon,"5,25,75,150,250",Build {x} Drills of Titans,Number of Drills of Titans divided by {x}
ach_115,Producers,Build %s David Guetta's Clubs,titaniumIcon,"5,25,75,150,250",Build {x} David Guetta's Clubs,Number of David Guetta's Clubs divided by {x}
ach_62,Producers,Build %s Rocket Droids,goldIcon,"5,25,75,150,250",Build {x} Rocket Droids,Number of Rocket Droids divided by {x}
ach_63,Producers,Build %s Asteroid Destroyers,goldIcon,"5,25,75,150,250",Build {x} Asteroid Destroyers,Number of Asteroid Destroyers divided by {x}
ach_64,Producers,Build %s Death Stars Jr,goldIcon,"5,25,75,150,250",Build {x} Death Stars Jr,Number of Death Stars Jr divided by {x}
ach_65,Producers,Build %s Chronal Actuators,goldIcon,"5,25,75,150,250",Build {x} Chronal Actuators,Number of Chronal Actuators divided by {x}
ach_116,Producers,Build %s Philosopher's Stones,goldIcon,"5,25,75,150,250",Build {x} Philosopher's Stones,Number of Philosopher's Stones divided by {x}
ach_66,Producers,Build %s Scout Ships,silverIcon,"5,25,75,150,250",Build {x} Scout Ships,Number of Scout Ships divided by {x}
ach_67,Producers,Build %s Interplanetary Lasers,silverIcon,"5,25,75,150,250",Build {x} Interplanetary Lasers,Number of Interplanetary Lasers divided by {x}
ach_68,Producers,Build %s Big Berthas,silverIcon,"5,25,75,150,250",Build {x} Big Berthas,Number of Big Berthas divided by {x}
ach_69,Producers,Build %s Atomic Cannons,silverIcon,"5,25,75,150,250",Build {x} Atomic Cannons,Number of Atomic Cannons divided by {x}
ach_117,Producers,Build %s Dead Werewolf Finders,silverIcon,"5,25,75,150,250",Build {x} Dead Werewolf Finders,Number of Dead Werewolf Finders divided by {x}
ach_78,Producers,Build %s Hydrogen Collectors,hydrogenIcon,"5,25,75,150,250",Build {x} Hydrogen Collectors,Number of Hydrogen Collectors divided by {x}
ach_79,Producers,Build %s Gaseous Magnets,hydrogenIcon,"5,25,75,150,250",Build {x} Gaseous Magnets,Number of Gaseous Magnets divided by {x}
ach_80,Producers,Build %s Electrolytic Cells,hydrogenIcon,"5,25,75,150,250",Build {x} Electrolytic Cells,Number of Electrolytic Cells divided by {x}
ach_81,Producers,Build %s Hindenburg Excavations,hydrogenIcon,"5,25,75,150,250",Build {x} Hindenburg Excavations,Number of Hindenburg Excavations divided by {x}
ach_118,Producers,Build %s Star Harvesters,hydrogenIcon,"5,25,75,150,250",Build {x} Star Harvesters,Number of Star Harvesters divided by {x}
ach_82,Producers,Build %s Helium Drones,heliumIcon,"5,25,75,150,250",Build {x} Helium Drones,Number of Helium Drones divided by {x}
ach_83,Producers,Build %s Helium Tankers,heliumIcon,"5,25,75,150,250",Build {x} Helium Tankers,Number of Helium Tankers divided by {x}
ach_84,Producers,Build %s Morphic Compressors,heliumIcon,"5,25,75,150,250",Build {x} Morphic Compressors,Number of Morphic Compressors divided by {x}
ach_85,Producers,Build %s Gas Giant Skimmers,heliumIcon,"5,25,75,150,250",Build {x} Gas Giant Skimmers,Number of Gas Giant Skimmers divided by {x}
ach_119,Producers,Build %s Caged Stars,heliumIcon,"5,25,75,150,250",Build {x} Caged Stars,Number of Caged Stars divided by {x}
ach_86,Producers,Build %s Ice Pickaxes,iceIcon,"5,25,75,150,250",Build {x} Ice Pickaxes,Number of Ice Pickaxes divided by {x}
ach_87,Producers,Build %s Ice Drills,iceIcon,"5,25,75,150,250",Build {x} Ice Drills,Number of Ice Drills divided by {x}
ach_88,Producers,Build %s Ocean Freezers,iceIcon,"5,25,75,150,250",Build {x} Ocean Freezers,Number of Ocean Freezers divided by {x}
ach_89,Producers,Build %s Mr Freezes,iceIcon,"5,25,75,150,250",Build {x} Mr Freezes,Number of Mr Freezes divided by {x}
ach_120,Producers,Build %s Overexchange Condensors,iceIcon,"5,25,75,150,250",Build {x} Overexchange Condensors,Number of Overexchange Condensors divided by {x}
ach_90,Producers,Build %s Meteorite Printers,meteoriteIcon,"5,25,75,150,250",Build {x} Meteorite Printers,Number of Meteorite Printers divided by {x}
ach_91,Producers,Build %s Meteorite Webs,meteoriteIcon,"5,25,75,150,250",Build {x} Meteorite Webs,Number of Meteorite Webs divided by {x}
ach_103,Producers,Build %s Planet Smashers,meteoriteIcon,"5,25,75,150,250",Build {x} Planet Smashers,Number of Planet Smashers divided by {x}
ach_104,Producers,Build %s Nebulous Synthesizers,meteoriteIcon,"5,25,75,150,250",Build {x} Nebulous Synthesizers,Number of Nebulous Synthesizers divided by {x}
ach_92,Producers,Build %s Home Science Kits,technologyIcon,"5,25,75,150,250",Build {x} Home Science Kits,Number of Home Science Kits divided by {x}
ach_93,Producers,Build %s High School Sciences,technologyIcon,"5,25,75,150,250",Build {x} High School Sciences,Number of High School Sciences divided by {x}
ach_94,Producers,Build %s University Laboratories,technologyIcon,"5,25,75,150,250",Build {x} University Laboratories,Number of University Laboratories divided by {x}
ach_95,Producers,Build %s Scientific Observatories,technologyIcon,"5,25,75,150,250",Build {x} Scientific Observatories,Number of Scientific Observatories divided by {x}
ach_101,Producers,Build %s Space Scientific Satellite Stations,technologyIcon,"5,25,75,150,250",Build {x} Space Scientific Satellite Stations,Number of Space Scientific Satellite Stations divided by {x}
ach_98,Producers,Build %s Chemical Plants,rocketFuelIcon,"5,25,75,150,250",Build {x} Chemical Plants,Number of Chemical Plants divided by {x}
ach_99,Producers,Build %s Oxidisation Chambers,rocketFuelIcon,"5,25,75,150,250",Build {x} Oxidisation Chambers,Number of Oxidisation Chambers divided by {x}
ach_100,Producers,Build %s Hydrazine Catalysts,rocketFuelIcon,"5,25,75,150,250",Build {x} Hydrazine Catalysts,Number of Hydrazine Catalysts divided by {x}
ach_96,Producers,Build %s Dyson Rings,EnergyIcon,"5,25,75,150,250",Build {x} Dyson Rings,Number of Dyson Rings divided by {x}
ach_97,Producers,Build %s Dyson Swarms,EnergyIcon,"5,25,75,150,250",Build {x} Dyson Swarms,Number of Dyson Swarms divided by {x}
