id,name,desc,buttonText,type,unlocked,costType,cost,newResources,newTechs,newTabs,tabAlerts,maxLevel
unlockMeteoriteTier2,Meteorite Tier 2,"Research a more efficient method of getting meteorite than creating it artificially.",Unlock Meteorite Tier 2,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:100000",meteoriteTier2,,,resources,1
unlockDyson,Dyson Ring,"Dyson Rings produce huge amounts of energy by surrounding the sun in solar stations.",Unlock Dyson Rings,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:100000",dysonPage,unlockDysonSphere,,solCenter,1
unlockDysonSphere,Dyson Swarms and Spheres,"The Dyson Swarms encapsulate the sun in rings of solar stations, whereas Spheres completely encompasses it to allows you to harness enough energy to go interstellar.",Unlock Dyson Swarms/Spheres,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:500000",dysonSphere,,,solCenter,1
upgradeResourceTech,Upgrade Resource Technology,"Make your resource machines produce even more resources than before. This upgrade doubles the amount they produce for each unit of Energy.",Upgrade Resource Tech,TECH_TYPE.UPGRADE,false,COST_TYPE.FIXED,"science:300",,,,resources,
upgradeEngineTech,Upgrade Engine Technology,"Upgrading Engine Technology will make Charcoal engines produce 4 Energy per second instead of 2.",Upgrade Charcoal Engines,TECH_TYPE.UPGRADE,false,COST_TYPE.FIXED,"science:1000",,,,resources,
upgradeSolarTech,Upgrade Solar Technology,"Upgrading Solar Technology will make solar panels produce 3 Energy per second instead of 1.5.",Upgrade Solar Panels,TECH_TYPE.UPGRADE,false,COST_TYPE.FIXED,"science:5000",,unlockBatteries,,resources,
efficiencyResearch,Resource Efficiency,"Resource Efficiency increases the income of resources by 1%/s per purchase.",,TECH_TYPE.UPGRADE,false,COST_TYPE.FIXED,"science:100000",,,,,-1
scienceEfficiencyResearch,Science Efficiency,"Science Efficiency increases the science production by 2% per purchase.",,TECH_TYPE.UPGRADE,false,COST_TYPE.FIXED,"science:10000000",,,,,-1
energyEfficiencyResearch,Energy Efficiency,"Energy Efficiency decreases the energy consumption of all machines by 1%/s per purchase.",,TECH_TYPE.UPGRADE,false,COST_TYPE.FIXED,"science:10000000",,,,25
batteryEfficiencyResearch,Battery Efficiency,"Battery Efficiency improves the storage capabilities of your batteries by 1% per upgrade.",,TECH_TYPE.UPGRADE,false,COST_TYPE.FIXED,"science:100000000",,,,200
